area1,area2,area3
서울특별시,광진구,자양제4동
서울특별시,광진구,구의제1동
서울특별시,광진구,구의제2동
서울특별시,광진구,구의제3동
서울특별시,동대문구,
서울특별시,동대문구,용신동
서울특별시,동대문구,제기동
서울특별시,동대문구,전농제1동
서울특별시,동대문구,전농제2동
서울특별시,동대문구,답십리제1동
서울특별시,동대문구,답십리제2동
서울특별시,동대문구,장안제1동
서울특별시,동대문구,장안제2동
서울특별시,동대문구,청량리동
서울특별시,동대문구,회기동
서울특별시,동대문구,휘경제1동
서울특별시,동대문구,휘경제2동
서울특별시,동대문구,이문제1동
서울특별시,동대문구,이문제2동
서울특별시,중랑구,
서울특별시,중랑구,면목제2동
서울특별시,중랑구,면목제4동
서울특별시,중랑구,면목제5동
서울특별시,중랑구,면목본동
서울특별시,중랑구,면목제7동
서울특별시,중랑구,면목제3.8동
서울특별시,중랑구,상봉제1동
서울특별시,중랑구,상봉제2동
서울특별시,중랑구,중화제1동
서울특별시,중랑구,중화제2동
서울특별시,중랑구,묵제1동
서울특별시,중랑구,묵제2동
서울특별시,중랑구,망우본동
서울특별시,중랑구,망우제3동
서울특별시,중랑구,신내1동
서울특별시,중랑구,신내2동
서울특별시,성북구,
서울특별시,성북구,성북동
서울특별시,성북구,삼선동
서울특별시,성북구,동선동
서울특별시,성북구,돈암제1동
서울특별시,성북구,돈암제2동
서울특별시,성북구,안암동
서울특별시,성북구,보문동
서울특별시,성북구,정릉제1동
서울특별시,성북구,정릉제2동
서울특별시,성북구,정릉제3동
서울특별시,성북구,정릉제4동
서울특별시,성북구,길음제1동
서울특별시,성북구,길음제2동
서울특별시,성북구,종암동
서울특별시,성북구,월곡제1동
서울특별시,성북구,월곡제2동
서울특별시,성북구,장위제1동
서울특별시,성북구,장위제2동
서울특별시,성북구,장위제3동
서울특별시,성북구,석관동
서울특별시,강북구,
서울특별시,강북구,삼양동
서울특별시,강북구,미아동
서울특별시,강북구,송중동
서울특별시,강북구,송천동
서울특별시,강북구,삼각산동
서울특별시,강북구,번1동
서울특별시,강북구,번2동
서울특별시,강북구,번3동
서울특별시,강북구,수유1동
서울특별시,강북구,수유2동
서울특별시,강북구,수유3동
서울특별시,강북구,우이동
서울특별시,강북구,인수동
서울특별시,도봉구,
서울특별시,도봉구,창제1동
서울특별시,도봉구,창제2동
서울특별시,도봉구,창제3동
서울특별시,도봉구,창제4동
서울특별시,도봉구,창제5동
서울특별시,도봉구,도봉제1동
서울특별시,도봉구,도봉제2동
서울특별시,도봉구,쌍문제1동
서울특별시,도봉구,쌍문제2동
서울특별시,도봉구,쌍문제3동
서울특별시,도봉구,쌍문제4동
서울특별시,도봉구,방학제1동
서울특별시,도봉구,방학제2동
서울특별시,도봉구,방학제3동
서울특별시,노원구,
서울특별시,노원구,월계1동
서울특별시,노원구,월계2동
서울특별시,노원구,월계3동
서울특별시,노원구,공릉1동
서울특별시,노원구,공릉2동
서울특별시,노원구,하계1동
서울특별시,노원구,하계2동
서울특별시,노원구,중계본동
서울특별시,노원구,중계1동
서울특별시,노원구,중계4동
서울특별시,노원구,중계2.3동
서울특별시,노원구,상계1동
서울특별시,노원구,상계2동
서울특별시,노원구,상계3.4동
서울특별시,노원구,상계5동
서울특별시,노원구,상계6.7동
서울특별시,노원구,상계8동
서울특별시,노원구,상계9동
서울특별시,노원구,상계10동
서울특별시,은평구,
서울특별시,은평구,녹번동
서울특별시,은평구,불광제1동
서울특별시,은평구,불광제2동
서울특별시,은평구,갈현제1동
서울특별시,은평구,갈현제2동
서울특별시,은평구,구산동
서울특별시,은평구,대조동
서울특별시,은평구,응암제1동
서울특별시,은평구,응암제2동
서울특별시,은평구,응암제3동
서울특별시,은평구,역촌동
서울특별시,은평구,신사제1동
서울특별시,은평구,신사제2동
서울특별시,은평구,증산동
서울특별시,은평구,수색동
서울특별시,은평구,진관동
서울특별시,서대문구,
서울특별시,서대문구,천연동
서울특별시,서대문구,북아현동
서울특별시,서대문구,충현동
서울특별시,서대문구,신촌동
서울특별시,서대문구,연희동
서울특별시,서대문구,홍제제1동
서울특별시,서대문구,홍제제3동
서울특별시,서대문구,홍제제2동
서울특별시,서대문구,홍은제1동
서울특별시,서대문구,홍은제2동
서울특별시,서대문구,남가좌제1동
서울특별시,서대문구,남가좌제2동
서울특별시,서대문구,북가좌제1동
서울특별시,서대문구,북가좌제2동
서울특별시,마포구,
서울특별시,마포구,아현동
서울특별시,마포구,공덕동
서울특별시,마포구,도화동
서울특별시,마포구,용강동
서울특별시,마포구,대흥동
서울특별시,마포구,염리동
서울특별시,마포구,신수동
서울특별시,마포구,서강동
서울특별시,마포구,서교동
서울특별시,마포구,합정동
서울특별시,마포구,망원제1동
서울특별시,마포구,망원제2동
서울특별시,마포구,연남동
서울특별시,마포구,성산제1동
서울특별시,마포구,성산제2동
서울특별시,마포구,상암동
서울특별시,양천구,
서울특별시,양천구,목1동
서울특별시,양천구,목2동
서울특별시,양천구,목3동
서울특별시,양천구,목4동
서울특별시,양천구,목5동
서울특별시,양천구,신월1동
서울특별시,양천구,신월2동
서울특별시,양천구,신월3동
서울특별시,양천구,신월4동
서울특별시,양천구,신월5동
서울특별시,양천구,신월6동
서울특별시,양천구,신월7동
서울특별시,양천구,신정1동
서울특별시,양천구,신정2동
서울특별시,양천구,신정3동
서울특별시,양천구,신정4동
서울특별시,양천구,신정6동
서울특별시,양천구,신정7동
서울특별시,강서구,
서울특별시,강서구,염창동
서울특별시,강서구,등촌제1동
서울특별시,강서구,등촌제2동
서울특별시,강서구,등촌제3동
서울특별시,강서구,화곡제1동
서울특별시,강서구,화곡제2동
서울특별시,강서구,화곡제3동
서울특별시,강서구,화곡제4동
서울특별시,강서구,화곡본동
서울특별시,강서구,화곡제6동
서울특별시,강서구,화곡제8동
서울특별시,강서구,가양제1동
서울특별시,강서구,가양제2동
서울특별시,강서구,가양제3동
서울특별시,강서구,발산제1동
서울특별시,강서구,우장산동
서울특별시,강서구,공항동
서울특별시,강서구,방화제1동
서울특별시,강서구,방화제2동
서울특별시,강서구,방화제3동
서울특별시,구로구,
서울특별시,구로구,신도림동
서울특별시,구로구,구로제1동
서울특별시,구로구,구로제2동
서울특별시,구로구,구로제3동
서울특별시,구로구,구로제4동
서울특별시,구로구,구로제5동
서울특별시,구로구,가리봉동
서울특별시,구로구,고척제1동
서울특별시,구로구,고척제2동
서울특별시,구로구,개봉제1동
서울특별시,구로구,개봉제2동
서울특별시,구로구,개봉제3동
서울특별시,구로구,오류제1동
서울특별시,구로구,오류제2동
서울특별시,구로구,수궁동
서울특별시,구로구,항동
서울특별시,금천구,
서울특별시,금천구,가산동
서울특별시,금천구,독산제1동
서울특별시,금천구,독산제2동
서울특별시,금천구,독산제3동
서울특별시,금천구,독산제4동
서울특별시,금천구,시흥제1동
서울특별시,금천구,시흥제2동
서울특별시,금천구,시흥제3동
서울특별시,금천구,시흥제4동
서울특별시,금천구,시흥제5동
서울특별시,영등포구,
서울특별시,영등포구,영등포본동
서울특별시,영등포구,영등포동
서울특별시,영등포구,여의동
서울특별시,영등포구,당산제1동
서울특별시,영등포구,당산제2동
서울특별시,영등포구,도림동
서울특별시,영등포구,문래동
서울특별시,영등포구,양평제1동
서울특별시,영등포구,양평제2동
서울특별시,영등포구,신길제1동
서울특별시,영등포구,신길제3동
서울특별시,영등포구,신길제4동
서울특별시,영등포구,신길제5동
서울특별시,영등포구,신길제6동
서울특별시,영등포구,신길제7동
서울특별시,영등포구,대림제1동
서울특별시,영등포구,대림제2동
서울특별시,영등포구,대림제3동
서울특별시,동작구,
서울특별시,동작구,노량진제1동
서울특별시,동작구,노량진제2동
서울특별시,동작구,상도제1동
서울특별시,동작구,상도제2동
서울특별시,동작구,상도제3동
서울특별시,동작구,상도제4동
서울특별시,동작구,흑석동
서울특별시,동작구,사당제1동
서울특별시,동작구,사당제2동
서울특별시,동작구,사당제3동
서울특별시,동작구,사당제4동
서울특별시,동작구,사당제5동
서울특별시,동작구,대방동
서울특별시,동작구,신대방제1동
서울특별시,동작구,신대방제2동
서울특별시,관악구,
서울특별시,관악구,보라매동
서울특별시,관악구,청림동
서울특별시,관악구,성현동
서울특별시,관악구,행운동
서울특별시,관악구,낙성대동
서울특별시,관악구,청룡동
서울특별시,관악구,은천동
서울특별시,관악구,중앙동
서울특별시,관악구,인헌동
서울특별시,관악구,남현동
서울특별시,관악구,서원동
서울특별시,관악구,신원동
서울특별시,관악구,서림동
서울특별시,관악구,신사동
서울특별시,관악구,신림동
서울특별시,관악구,난향동
서울특별시,관악구,조원동
서울특별시,관악구,대학동
서울특별시,관악구,삼성동
서울특별시,관악구,미성동
서울특별시,관악구,난곡동
서울특별시,서초구,
서울특별시,서초구,서초1동
서울특별시,서초구,서초2동
서울특별시,서초구,서초3동
서울특별시,서초구,서초4동
서울특별시,서초구,잠원동
서울특별시,서초구,반포본동
서울특별시,서초구,반포1동
서울특별시,서초구,반포2동
서울특별시,서초구,반포3동
서울특별시,서초구,반포4동
서울특별시,서초구,방배본동
서울특별시,서초구,방배1동
서울특별시,서초구,방배2동
서울특별시,서초구,방배3동
서울특별시,서초구,방배4동
서울특별시,서초구,양재1동
서울특별시,서초구,양재2동
서울특별시,서초구,내곡동
서울특별시,강남구,
서울특별시,강남구,신사동
서울특별시,강남구,논현1동
서울특별시,강남구,논현2동
서울특별시,강남구,압구정동
서울특별시,강남구,청담동
서울특별시,강남구,삼성1동
서울특별시,강남구,삼성2동
서울특별시,강남구,대치1동
서울특별시,강남구,대치2동
서울특별시,강남구,대치4동
서울특별시,강남구,역삼1동
서울특별시,강남구,역삼2동
서울특별시,강남구,도곡1동
서울특별시,강남구,도곡2동
서울특별시,강남구,개포1동
서울특별시,강남구,개포2동
서울특별시,강남구,개포4동
서울특별시,강남구,세곡동
서울특별시,강남구,일원본동
서울특별시,강남구,일원1동
서울특별시,강남구,일원2동
서울특별시,강남구,수서동
서울특별시,송파구,
서울특별시,송파구,풍납1동
서울특별시,송파구,풍납2동
서울특별시,송파구,거여1동
서울특별시,송파구,거여2동
서울특별시,송파구,마천1동
서울특별시,송파구,마천2동
서울특별시,송파구,방이1동
서울특별시,송파구,방이2동
서울특별시,송파구,오륜동
서울특별시,송파구,오금동
서울특별시,송파구,송파1동
서울특별시,송파구,송파2동
서울특별시,송파구,석촌동
서울특별시,송파구,삼전동
서울특별시,송파구,가락본동
서울특별시,송파구,가락1동
서울특별시,송파구,가락2동
서울특별시,송파구,문정1동
서울특별시,송파구,문정2동
서울특별시,송파구,장지동
서울특별시,송파구,위례동
서울특별시,송파구,잠실본동
서울특별시,송파구,잠실2동
서울특별시,송파구,잠실3동
서울특별시,송파구,잠실4동
서울특별시,송파구,잠실6동
서울특별시,송파구,잠실7동
서울특별시,강동구,
서울특별시,강동구,강일동
서울특별시,강동구,상일제1동
서울특별시,강동구,상일제2동
서울특별시,강동구,명일제1동
서울특별시,강동구,명일제2동
서울특별시,강동구,고덕제1동
서울특별시,강동구,고덕제2동
서울특별시,강동구,암사제1동
서울특별시,강동구,암사제2동
서울특별시,강동구,암사제3동
서울특별시,강동구,천호제1동
서울특별시,강동구,천호제2동
서울특별시,강동구,천호제3동
서울특별시,강동구,성내제1동
서울특별시,강동구,성내제2동
서울특별시,강동구,성내제3동
서울특별시,강동구,길동
서울특별시,강동구,둔촌제1동
서울특별시,강동구,둔촌제2동
부산광역시,,
부산광역시,중구,
부산광역시,중구,중앙동
부산광역시,중구,동광동
부산광역시,중구,대청동
부산광역시,중구,보수동
부산광역시,중구,부평동
부산광역시,중구,광복동
부산광역시,중구,남포동
부산광역시,중구,영주제1동
부산광역시,중구,영주제2동
부산광역시,서구,
부산광역시,서구,동대신제1동
부산광역시,서구,동대신제2동
부산광역시,서구,동대신제3동
부산광역시,서구,서대신제1동
부산광역시,서구,서대신제3동
부산광역시,서구,서대신제4동
부산광역시,서구,부민동
부산광역시,서구,아미동
부산광역시,서구,초장동
부산광역시,서구,충무동
부산광역시,서구,남부민제1동
부산광역시,서구,남부민제2동
부산광역시,서구,암남동
부산광역시,동구,
부산광역시,동구,초량제1동
부산광역시,동구,초량제2동
부산광역시,동구,초량제3동
부산광역시,동구,초량제6동
부산광역시,동구,수정제1동
부산광역시,동구,수정제2동
부산광역시,동구,수정제4동
부산광역시,동구,수정제5동
부산광역시,동구,좌천동
부산광역시,동구,범일제1동
부산광역시,동구,범일제2동
부산광역시,동구,범일제5동
부산광역시,영도구,
부산광역시,영도구,남항동
부산광역시,영도구,영선제1동
부산광역시,영도구,영선제2동
부산광역시,영도구,신선동
부산광역시,영도구,봉래제1동
부산광역시,영도구,봉래제2동
부산광역시,영도구,청학제1동
부산광역시,영도구,청학제2동
부산광역시,영도구,동삼제1동
부산광역시,영도구,동삼제2동
부산광역시,영도구,동삼제3동
부산광역시,부산진구,
부산광역시,부산진구,부전제1동
부산광역시,부산진구,부전제2동
부산광역시,부산진구,연지동
부산광역시,부산진구,초읍동
부산광역시,부산진구,양정제1동
부산광역시,부산진구,양정제2동
부산광역시,부산진구,전포제1동
부산광역시,부산진구,전포제2동
부산광역시,부산진구,부암제1동
부산광역시,부산진구,부암제3동
부산광역시,부산진구,당감제1동
부산광역시,부산진구,당감제2동
부산광역시,부산진구,당감제4동
부산광역시,부산진구,가야제1동
부산광역시,부산진구,가야제2동
부산광역시,부산진구,개금제1동
부산광역시,부산진구,개금제2동
부산광역시,부산진구,개금제3동
부산광역시,부산진구,범천제1동
부산광역시,부산진구,범천제2동
부산광역시,동래구,
부산광역시,동래구,수민동
부산광역시,동래구,복산동
부산광역시,동래구,명륜동
부산광역시,동래구,온천제1동
부산광역시,동래구,온천제2동
부산광역시,동래구,온천제3동
부산광역시,동래구,사직제1동
부산광역시,동래구,사직제2동
부산광역시,동래구,사직제3동
부산광역시,동래구,안락제1동
부산광역시,동래구,안락제2동
부산광역시,동래구,명장제1동
부산광역시,동래구,명장제2동
부산광역시,남구,
부산광역시,남구,대연제1동
부산광역시,남구,대연제3동
부산광역시,남구,대연제4동
부산광역시,남구,대연제5동
부산광역시,남구,대연제6동
부산광역시,남구,용호제1동
부산광역시,남구,용호제2동
부산광역시,남구,용호제3동
부산광역시,남구,용호제4동
부산광역시,남구,용당동
부산광역시,남구,감만제1동
부산광역시,남구,감만제2동
부산광역시,남구,우암동
부산광역시,남구,문현제1동
부산광역시,남구,문현제2동
부산광역시,남구,문현제3동
부산광역시,남구,문현제4동
부산광역시,북구,
부산광역시,북구,구포제1동
부산광역시,북구,구포제2동
부산광역시,북구,구포제3동
부산광역시,북구,금곡동
부산광역시,북구,화명제1동
부산광역시,북구,화명제2동
부산광역시,북구,화명제3동
부산광역시,북구,덕천제1동
부산광역시,북구,덕천제2동
부산광역시,북구,덕천제3동
부산광역시,북구,만덕제1동
부산광역시,북구,만덕제2동
부산광역시,북구,만덕제3동
부산광역시,해운대구,
부산광역시,해운대구,우제1동
부산광역시,해운대구,우제2동
부산광역시,해운대구,우제3동
부산광역시,해운대구,중제1동
부산광역시,해운대구,중제2동
부산광역시,해운대구,좌제1동
부산광역시,해운대구,좌제2동
부산광역시,해운대구,좌제3동
부산광역시,해운대구,좌제4동
부산광역시,해운대구,송정동
부산광역시,해운대구,반여제1동
부산광역시,해운대구,반여제2동
부산광역시,해운대구,반여제3동
부산광역시,해운대구,반여제4동
부산광역시,해운대구,반송제1동
부산광역시,해운대구,반송제2동
부산광역시,해운대구,재송제1동
부산광역시,해운대구,재송제2동
부산광역시,사하구,
부산광역시,사하구,괴정제1동
부산광역시,사하구,괴정제2동
부산광역시,사하구,괴정제3동
부산광역시,사하구,괴정제4동
부산광역시,사하구,당리동
부산광역시,사하구,하단제1동
부산광역시,사하구,하단제2동
부산광역시,사하구,신평제1동
부산광역시,사하구,신평제2동
부산광역시,사하구,장림제1동
부산광역시,사하구,장림제2동
부산광역시,사하구,다대제1동
부산광역시,사하구,다대제2동
부산광역시,사하구,구평동
부산광역시,사하구,감천제1동
부산광역시,사하구,감천제2동
부산광역시,금정구,
부산광역시,금정구,서제1동
부산광역시,금정구,서제2동
부산광역시,금정구,서제3동
부산광역시,금정구,금사회동동
부산광역시,금정구,부곡제1동
부산광역시,금정구,부곡제2동
부산광역시,금정구,부곡제3동
부산광역시,금정구,부곡제4동
부산광역시,금정구,장전제1동
부산광역시,금정구,장전제2동
부산광역시,금정구,선두구동
부산광역시,금정구,청룡노포동
부산광역시,금정구,남산동
부산광역시,금정구,구서제1동
부산광역시,금정구,구서제2동
부산광역시,금정구,금성동
부산광역시,강서구,
부산광역시,강서구,대저1동
부산광역시,강서구,대저2동
부산광역시,강서구,강동동
부산광역시,강서구,명지1동
부산광역시,강서구,명지2동
부산광역시,강서구,가락동
부산광역시,강서구,녹산동
부산광역시,강서구,가덕도동
부산광역시,연제구,
부산광역시,연제구,거제제1동
부산광역시,연제구,거제제2동
부산광역시,연제구,거제제3동
부산광역시,연제구,거제제4동
부산광역시,연제구,연산제1동
부산광역시,연제구,연산제2동
부산광역시,연제구,연산제3동
부산광역시,연제구,연산제4동
부산광역시,연제구,연산제5동
부산광역시,연제구,연산제6동
부산광역시,연제구,연산제8동
부산광역시,연제구,연산제9동
부산광역시,수영구,
부산광역시,수영구,남천제1동
부산광역시,수영구,남천제2동
부산광역시,수영구,수영동
부산광역시,수영구,망미제1동
부산광역시,수영구,망미제2동
부산광역시,수영구,광안제1동
부산광역시,수영구,광안제2동
부산광역시,수영구,광안제3동
부산광역시,수영구,광안제4동
부산광역시,수영구,민락동
부산광역시,사상구,
부산광역시,사상구,삼락동
부산광역시,사상구,모라제1동
부산광역시,사상구,모라제3동
부산광역시,사상구,덕포제1동
부산광역시,사상구,덕포제2동
부산광역시,사상구,괘법동
부산광역시,사상구,감전동
부산광역시,사상구,주례제1동
부산광역시,사상구,주례제2동
부산광역시,사상구,주례제3동
부산광역시,사상구,학장동
부산광역시,사상구,엄궁동
부산광역시,기장군,
부산광역시,기장군,기장읍
부산광역시,기장군,장안읍
부산광역시,기장군,정관읍
부산광역시,기장군,일광면
부산광역시,기장군,철마면
대구광역시,,
대구광역시,중구,
대구광역시,중구,동인동
대구광역시,중구,삼덕동
대구광역시,중구,성내1동
대구광역시,중구,성내2동
대구광역시,중구,성내3동
대구광역시,중구,대신동
대구광역시,중구,남산1동
대구광역시,중구,남산2동
대구광역시,중구,남산3동
대구광역시,중구,남산4동
대구광역시,중구,대봉1동
대구광역시,중구,대봉2동
대구광역시,동구,
대구광역시,동구,신암1동
대구광역시,동구,신암2동
대구광역시,동구,신암3동
대구광역시,동구,신암4동
대구광역시,동구,신암5동
대구광역시,동구,신천1.2동
대구광역시,동구,신천3동
대구광역시,동구,신천4동
대구광역시,동구,효목1동
대구광역시,동구,효목2동
대구광역시,동구,도평동
대구광역시,동구,불로.봉무동
대구광역시,동구,지저동
대구광역시,동구,동촌동
대구광역시,동구,방촌동
대구광역시,동구,해안동
대구광역시,동구,안심1동
대구광역시,동구,안심2동
대구광역시,동구,안심3동
대구광역시,동구,안심4동
대구광역시,동구,혁신동
대구광역시,동구,공산동
대구광역시,서구,
대구광역시,서구,내당1동
대구광역시,서구,내당2.3동
대구광역시,서구,내당4동
대구광역시,서구,비산1동
대구광역시,서구,비산2.3동
대구광역시,서구,비산4동
대구광역시,서구,비산5동
대구광역시,서구,비산6동
대구광역시,서구,비산7동
대구광역시,서구,평리1동
대구광역시,서구,평리2동
대구광역시,서구,평리3동
대구광역시,서구,평리4동
대구광역시,서구,평리5동
대구광역시,서구,평리6동
대구광역시,서구,상중이동
대구광역시,서구,원대동
대구광역시,남구,
대구광역시,남구,이천동
대구광역시,남구,봉덕1동
대구광역시,남구,봉덕2동
대구광역시,남구,봉덕3동
대구광역시,남구,대명1동
대구광역시,남구,대명2동
대구광역시,남구,대명3동
대구광역시,남구,대명4동
대구광역시,남구,대명5동
대구광역시,남구,대명6동
대구광역시,남구,대명9동
대구광역시,남구,대명10동
대구광역시,남구,대명11동
대구광역시,북구,
대구광역시,북구,고성동
대구광역시,북구,칠성동
대구광역시,북구,침산1동
대구광역시,북구,침산2동
대구광역시,북구,침산3동
대구광역시,북구,산격1동
대구광역시,북구,산격2동
대구광역시,북구,산격3동
대구광역시,북구,산격4동
대구광역시,북구,대현동
대구광역시,북구,복현1동
대구광역시,북구,복현2동
대구광역시,북구,검단동
대구광역시,북구,무태조야동
대구광역시,북구,관문동
대구광역시,북구,태전1동
대구광역시,북구,태전2동
대구광역시,북구,구암동
대구광역시,북구,관음동
대구광역시,북구,읍내동
대구광역시,북구,동천동
대구광역시,북구,노원동
대구광역시,북구,국우동
대구광역시,수성구,
대구광역시,수성구,범어1동
대구광역시,수성구,범어2동
대구광역시,수성구,범어3동
대구광역시,수성구,범어4동
대구광역시,수성구,만촌1동
대구광역시,수성구,만촌2동
대구광역시,수성구,만촌3동
대구광역시,수성구,수성1가동
대구광역시,수성구,수성2.3가동
대구광역시,수성구,수성4가동
대구광역시,수성구,황금1동
대구광역시,수성구,황금2동
대구광역시,수성구,중동
대구광역시,수성구,상동
대구광역시,수성구,파동
대구광역시,수성구,두산동
대구광역시,수성구,지산1동
대구광역시,수성구,지산2동
대구광역시,수성구,범물1동
대구광역시,수성구,범물2동
대구광역시,수성구,고산1동
대구광역시,수성구,고산2동
대구광역시,수성구,고산3동
대구광역시,달서구,
대구광역시,달서구,성당동
대구광역시,달서구,두류1.2동
대구광역시,달서구,두류3동
대구광역시,달서구,감삼동
대구광역시,달서구,죽전동
대구광역시,달서구,장기동
대구광역시,달서구,용산1동
대구광역시,달서구,용산2동
대구광역시,달서구,이곡1동
대구광역시,달서구,이곡2동
대구광역시,달서구,신당동
대구광역시,달서구,본리동
대구광역시,달서구,월성1동
대구광역시,달서구,월성2동
대구광역시,달서구,진천동
대구광역시,달서구,유천동
대구광역시,달서구,상인1동
대구광역시,달서구,상인2동
대구광역시,달서구,상인3동
대구광역시,달서구,도원동
대구광역시,달서구,송현1동
대구광역시,달서구,송현2동
대구광역시,달서구,본동
대구광역시,달성군,
대구광역시,달성군,화원읍
대구광역시,달성군,논공읍
대구광역시,달성군,논공읍공단출장소
대구광역시,달성군,다사읍
대구광역시,달성군,다사읍서재출장소
대구광역시,달성군,유가읍
대구광역시,달성군,옥포읍
대구광역시,달성군,현풍읍
대구광역시,달성군,가창면
대구광역시,달성군,하빈면
대구광역시,달성군,구지면
인천광역시,,
인천광역시,중구,
인천광역시,중구,연안동
인천광역시,중구,신포동
인천광역시,중구,신흥동
인천광역시,중구,도원동
인천광역시,중구,율목동
인천광역시,중구,동인천동
인천광역시,중구,개항동
인천광역시,중구,영종동
인천광역시,중구,영종1동
인천광역시,중구,운서동
인천광역시,중구,용유동
인천광역시,중구영종출장소,
인천광역시,중구용유출장소,
인천광역시,동구,
인천광역시,동구,만석동
인천광역시,동구,화수1.화평동
인천광역시,동구,화수2동
인천광역시,동구,송현1.2동
인천광역시,동구,송현3동
인천광역시,동구,송림1동
인천광역시,동구,송림2동
인천광역시,동구,송림3.5동
인천광역시,동구,송림4동
인천광역시,동구,송림6동
인천광역시,동구,금창동
인천광역시,미추홀구,
인천광역시,미추홀구,숭의2동
인천광역시,미추홀구,숭의1.3동
인천광역시,미추홀구,숭의4동
인천광역시,미추홀구,용현1.4동
인천광역시,미추홀구,용현2동
인천광역시,미추홀구,용현3동
인천광역시,미추홀구,용현5동
인천광역시,미추홀구,학익1동
인천광역시,미추홀구,학익2동
인천광역시,미추홀구,도화1동
인천광역시,미추홀구,도화2.3동
인천광역시,미추홀구,주안1동
인천광역시,미추홀구,주안2동
인천광역시,미추홀구,주안3동
인천광역시,미추홀구,주안4동
인천광역시,미추홀구,주안5동
인천광역시,미추홀구,주안6동
인천광역시,미추홀구,주안7동
인천광역시,미추홀구,주안8동
인천광역시,미추홀구,관교동
인천광역시,미추홀구,문학동
인천광역시,연수구,
인천광역시,연수구,옥련1동
인천광역시,연수구,옥련2동
인천광역시,연수구,선학동
인천광역시,연수구,연수1동
인천광역시,연수구,연수2동
인천광역시,연수구,연수3동
인천광역시,연수구,청학동
인천광역시,연수구,동춘1동
인천광역시,연수구,동춘2동
인천광역시,연수구,동춘3동
인천광역시,연수구,송도1동
인천광역시,연수구,송도2동
인천광역시,연수구,송도3동
인천광역시,연수구,송도4동
인천광역시,연수구,송도5동
인천광역시,남동구,
인천광역시,남동구,구월1동
인천광역시,남동구,구월2동
인천광역시,남동구,구월3동
인천광역시,남동구,구월4동
인천광역시,남동구,간석1동
인천광역시,남동구,간석2동
인천광역시,남동구,간석3동
인천광역시,남동구,간석4동
인천광역시,남동구,만수1동
인천광역시,남동구,만수2동
인천광역시,남동구,만수3동
인천광역시,남동구,만수4동
인천광역시,남동구,만수5동
인천광역시,남동구,만수6동
인천광역시,남동구,장수서창동
인천광역시,남동구,서창2동
인천광역시,남동구,남촌도림동
인천광역시,남동구,논현1동
인천광역시,남동구,논현2동
인천광역시,남동구,논현고잔동
인천광역시,부평구,
인천광역시,부평구,부평1동
인천광역시,부평구,부평2동
인천광역시,부평구,부평3동
인천광역시,부평구,부평4동
인천광역시,부평구,부평5동
인천광역시,부평구,부평6동
인천광역시,부평구,산곡1동
인천광역시,부평구,산곡2동
인천광역시,부평구,산곡3동
인천광역시,부평구,산곡4동
인천광역시,부평구,청천1동
